year,country,area_harvested_1000ha,imports_1000mt,exports_1000mt,ending_stocks_1000mt,yoy_exports_pct,yoy_stocks_pct,psd_production_1000mt,owid_production_tonnes,divergence_pct,divergence_flag,enso_analog_flag,provenance
2000,CIV,,,,,,,,1401101.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2000
2001,CIV,,,,,,,,1212428.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2001
2002,CIV,,,,,,,,1264708.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2002
2003,CIV,,,,,,,,1351546.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2003
2004,CIV,,,,,,,,1407213.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2004
2005,CIV,,,,,,,,1286330.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2005
2006,CIV,,,,,,,,1408854.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2006
2007,CIV,,,,,,,,1229908.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2007
2008,CIV,,,,,,,,1382441.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2008
2009,CIV,,,,,,,,1223153.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2009
2010,CIV,,,,,,,,1301347.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2010
2011,CIV,,,,,,,,1511255.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2011
2012,CIV,,,,,,,,1485882.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2012
2013,CIV,,,,,,,,1448992.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2013
2014,CIV,,,,,,,,1637777.5,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2014
2015,CIV,,,,,,,,1796000.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2015
2016,CIV,,,,,,,,1634000.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2016
2017,CIV,,,,,,,,2034000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2017
2018,CIV,,,,,,,,2113189.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2018
2019,CIV,,,,,,,,2235043.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2019
2020,CIV,,,,,,,,2200000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2020
2021,CIV,,,,,,,,2228459.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2021
2022,CIV,,,,,,,,2358991.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2022
2023,CIV,,,,,,,,1822441.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2023
2024,CIV,,,,,,,,1890442.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CI year=2024
