year,entity,production_tonnes,yield_t_per_ha,yoy_production_pct,section,climate_region,enso_analog_flag,provenance
2000,CIV,1401101.0,0.7006,,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2001,CIV,1212428.0,0.6821,-13.4661,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2002,CIV,1264708.0,0.67270005,4.312,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2003,CIV,1351546.0,0.6758,6.8662,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2004,CIV,1407213.0,0.68640006,4.1188,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2005,CIV,1286330.0,0.58640003,-8.5902,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2006,CIV,1408854.0,0.6176,9.5251,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2007,CIV,1229908.0,0.5184001,-12.7015,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2008,CIV,1382441.0,0.6011,12.402,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2009,CIV,1223153.0,0.5621,-11.5222,West Africa,Tropical humid,True,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2010,CIV,1301347.0,0.5711,6.3928,West Africa,Tropical humid,True,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2011,CIV,1511255.0,0.5628,16.1301,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2012,CIV,1485882.0,0.5411,-1.6789,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
2013,CIV,1448992.0,0.53050005,-2.4827,West Africa,Tropical humid,False,SOURCE: OWID cocoa-bean-production.csv local file FAO/OWID
