year,ending_stocks_total_mt,ending_stocks_cpo_mt,ending_stocks_processed_mt,provenance,yoy_stocks_pct,below_1500_flag
2010,1615618,710310,905308,SOURCE: MPOB Overview_of_Industry_2010.pdf,,False
2011,2058400,1066291,992109,SOURCE: MPOB Overview_of_Industry_2011.pdf,27.406354719989512,False
2015,2633940,1593073,1040867,SOURCE: MPOB Overview_of_Industry_2015.pdf,27.960551884959184,False
2016,1666673,877082,789591,SOURCE: MPOB Overview_of_Industry_2016.pdf,-36.72319794680213,False
2017,2732093,1669196,1062897,SOURCE: MPOB Overview_of_Industry_2017.pdf,63.92495708516308,False
2018,3215052,1940680,1274372,SOURCE: MPOB Overview_of_Industry_2018.pdf,17.677253299942564,False
2019,2010527,1019510,991017,SOURCE: MPOB Overview_of_Industry_2019.pdf,-37.46517941233921,False
2020,1265698,583811,681887,SOURCE: MPOB Overview_of_Industry_2020.pdf,-37.046455978954775,True
2021,1614594,852877,761717,SOURCE: MPOB Overview2021.pdf,27.56550140712872,False
2022,2196574,1293873,902701,SOURCE: MPOB Overview2022.pdf,36.044974773844075,False
2023,2290793,1197668,1093125,SOURCE: MPOB Overview2023.pdf,4.2893615239004035,False
2024,1708756,894330,814426,SOURCE: MPOB Overview2024.pdf,-25.407664507443496,False
2025,3051147,1821781,1229366,SOURCE: MPOB Overview2025.pdf,78.55954858388208,False
