year,indonesia_production_1000mt,indonesia_yield_mt_per_ha,malaysia_production_1000mt,malaysia_oer_pct,malaysia_ffb_yield_t_per_ha,combined_production_1000mt,indonesia_yoy_production_pct,malaysia_yoy_production_pct,indonesia_yield_deviation_flag,malaysia_yield_deviation_flag,enso_analog_flag,enso_live_warning_2026_flag,data_source_indonesia,data_source_malaysia
2000,8300.0,2.81,11937.0,,4.06,20237.0,,,False,False,False,False,USDA PSD,USDA PSD
2001,9200.0,2.78,11858.0,,3.95,21058.0,10.843373493975903,-0.6618078244114978,False,False,False,False,USDA PSD,USDA PSD
2002,10300.0,3.0,13180.0,,4.13,23480.0,11.956521739130444,11.148591668072182,False,False,False,False,USDA PSD,USDA PSD
2003,11970.0,3.04,13420.0,,4.06,25390.0,16.21359223300971,1.8209408194233667,False,False,False,False,USDA PSD,USDA PSD
2004,13560.0,3.09,15194.0,,4.4,28754.0,13.283208020050118,13.219076005961261,False,False,False,False,USDA PSD,USDA PSD
2005,15560.0,3.18,15485.0,,4.26,31045.0,,1.9152296959326076,False,False,False,False,USDA PSD,USDA PSD
2006,16600.0,3.17,15290.0,,4.13,31890.0,6.683804627249357,-1.2592831772683222,False,False,False,False,USDA PSD,USDA PSD
2007,18000.0,3.22,17567.0,,4.67,35567.0,8.43373493975903,14.89208633093526,False,False,False,False,USDA PSD,USDA PSD
2008,20500.0,3.38,17259.0,,4.41,37759.0,13.888888888888884,-1.7532874139010612,False,True,False,False,USDA PSD,USDA PSD
2009,22000.0,3.39,17763.0,,4.36,39763.0,7.317073170731714,2.920215539718418,False,False,True,False,USDA PSD,USDA PSD
2010,23600.0,3.25,16993.717,20.45,18.03,40593.717000000004,7.272727272727275,-4.330816866520292,False,False,True,False,USDA PSD,MPOB Annual Overview
2011,26200.0,3.25,18911.52,20.35,19.69,45111.520000000004,11.016949152542368,11.285365055802687,False,False,False,False,USDA PSD,MPOB Annual Overview
2012,28500.0,3.38,19321.0,,4.44,47821.0,8.778625954198471,2.1652410805688804,False,True,False,False,USDA PSD,USDA PSD
2013,30500.0,3.4,20161.0,,4.45,50661.0,7.017543859649122,4.347601055845973,False,False,False,False,USDA PSD,USDA PSD
2014,33000.0,3.47,19879.0,,4.24,52879.0,8.196721311475418,-1.3987401418580458,False,False,False,False,USDA PSD,USDA PSD
2015,32000.0,3.11,19961.581,20.46,18.48,51961.581,-3.030303030303028,0.41541828059761254,True,False,True,False,USDA PSD,MPOB Annual Overview
2016,36000.0,3.24,17319.177,20.18,15.91,53319.176999999996,12.5,-13.237448476651215,False,True,True,False,USDA PSD,MPOB Annual Overview
2017,39500.0,3.38,19919.331,19.72,17.89,59419.331,9.722222222222232,15.013149874269427,False,False,False,False,USDA PSD,MPOB Annual Overview
2018,41500.0,3.49,19516.141,19.95,17.16,61016.141,5.063291139240511,-2.0241141632718396,False,False,False,False,USDA PSD,MPOB Annual Overview
2019,42500.0,3.51,19858.367,20.21,17.19,62358.367,2.4096385542168752,1.7535536354241321,False,False,False,False,USDA PSD,MPOB Annual Overview
2020,43500.0,3.57,19140.613,19.92,16.73,62640.613,2.35294117647058,-3.61436567266582,False,False,False,False,USDA PSD,MPOB Annual Overview
2021,42000.0,3.36,18116.354,20.01,15.47,60116.354,-3.4482758620689613,-5.351234048773678,True,True,False,False,USDA PSD,MPOB Annual Overview
2022,45000.0,3.33,18453.42,19.7,15.49,63453.42,7.14285714285714,1.8605620093314457,False,False,False,False,USDA PSD,MPOB Annual Overview
2023,43000.0,3.19,18551.95,19.86,15.79,61551.95,-4.444444444444439,0.5339389663271188,False,False,True,False,USDA PSD,MPOB Annual Overview
2024,45500.0,3.25,19338.266,19.67,16.7,64838.266,5.813953488372103,4.238454717698126,False,False,False,False,USDA PSD,MPOB Annual Overview
2025,46700.0,3.34,20283.475,19.74,17.77,66983.475,2.637362637362628,4.887765014712286,False,False,False,False,USDA PSD,MPOB Annual Overview
2026,47500.0,3.39,19600.0,,3.47,67100.0,1.7130620985010614,-3.3696149205202697,False,True,False,True,USDA PSD,USDA PSD
