year,country_code,country_name,production_1000mt,area_harvested_1000ha,yield_mt_per_ha,ending_stocks_1000mt,exports_1000mt,industrial_cons_1000mt,food_cons_1000mt,total_cons_1000mt,yoy_production_pct,yoy_yield_pct,yoy_exports_pct,yield_deviation_flag,stocks_threshold_flag,enso_analog_flag,enso_live_warning_flag,provenance
2000,ID,Indonesia,8300.0,2956.0,2.81,655.0,4776.0,260.0,2965.0,3263.0,,,,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2000
2001,ID,Indonesia,9200.0,3307.0,2.78,503.0,5979.0,280.0,3044.0,3381.0,10.843373493975905,-1.067615658362997,25.188442211055275,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2001
2002,ID,Indonesia,10300.0,3429.0,3.0,710.0,6422.0,430.0,3176.0,3676.0,11.956521739130444,7.913669064748219,7.409265763505601,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2002
2003,ID,Indonesia,11970.0,3936.0,3.04,998.0,7856.0,470.0,3301.0,3831.0,16.21359223300971,1.333333333333342,22.32949236997821,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2003
2004,ID,Indonesia,13560.0,4383.0,3.09,951.0,9621.0,510.0,3425.0,4005.0,13.283208020050118,1.6447368421052655,22.466904276985744,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2004
2005,ID,Indonesia,15560.0,4886.0,3.18,925.0,11696.0,300.0,3550.0,3930.0,,,,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2005
2006,ID,Indonesia,16600.0,5236.0,3.17,1929.0,11419.0,400.0,3690.0,4180.0,6.683804627249357,-0.3144654088050425,-2.368331053351569,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2006
2007,ID,Indonesia,18000.0,5586.0,3.22,1392.0,13969.0,650.0,3825.0,4575.0,8.43373493975903,1.5772870662460692,22.33120238199493,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2007
2008,ID,Indonesia,20500.0,6063.0,3.38,1049.0,15964.0,800.0,3965.0,4900.0,13.888888888888884,4.968944099378869,14.281623595103454,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2008
2009,ID,Indonesia,22000.0,6498.0,3.39,1019.0,16573.0,1250.0,4110.0,5506.0,7.317073170731714,0.2958579881656931,3.814833375093962,False,False,True,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2009
2010,ID,Indonesia,23600.0,7256.0,3.25,1985.0,16423.0,1800.0,4265.0,6234.0,7.272727272727275,-4.129793510324486,-0.905086586616788,False,False,True,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2010
2011,ID,Indonesia,26200.0,8064.0,3.25,2792.0,18453.0,2300.0,4425.0,6940.0,11.016949152542368,0.0,12.36071363331912,False,False,False,False,SOURCE: USDA PSD psd_oilseeds.csv Commodity 4243000 Country ID Year 2011
