Entity,Code,Year,Palm fruit oil - Yield (tonnes per hectare)
Africa,OWID_AFR,1961,3.3431718
Africa,OWID_AFR,1962,3.4049575
Africa,OWID_AFR,1963,3.3974442
Africa,OWID_AFR,1964,3.3669014
Africa,OWID_AFR,1965,3.3127127
Africa,OWID_AFR,1966,3.3002875
Africa,OWID_AFR,1967,3.556339
Africa,OWID_AFR,1968,3.6081307
Africa,OWID_AFR,1969,3.5710173
Africa,OWID_AFR,1970,3.6043675
Africa,OWID_AFR,1971,3.6149309
Africa,OWID_AFR,1972,3.711448
Africa,OWID_AFR,1973,3.6962624
Africa,OWID_AFR,1974,3.7367773
Africa,OWID_AFR,1975,3.781351
Africa,OWID_AFR,1976,3.737514
Africa,OWID_AFR,1977,3.616858
Africa,OWID_AFR,1978,3.7754054
Africa,OWID_AFR,1979,3.5968816
Africa,OWID_AFR,1980,3.6643887
Africa,OWID_AFR,1981,3.689265
Africa,OWID_AFR,1982,3.7106383
Africa,OWID_AFR,1983,3.697985
Africa,OWID_AFR,1984,3.6126637
Africa,OWID_AFR,1985,3.6477308
Africa,OWID_AFR,1986,3.7476625
Africa,OWID_AFR,1987,3.7045631
Africa,OWID_AFR,1988,3.6959736
Africa,OWID_AFR,1989,3.8112082
Africa,OWID_AFR,1990,3.848784
Africa,OWID_AFR,1991,3.7363224
Africa,OWID_AFR,1992,3.702257
Africa,OWID_AFR,1993,3.7056355
Africa,OWID_AFR,1994,3.6816826
Africa,OWID_AFR,1995,3.6573372
Africa,OWID_AFR,1996,3.6985602
Africa,OWID_AFR,1997,3.5762265
Africa,OWID_AFR,1998,3.6599934
Africa,OWID_AFR,1999,3.6849577
Africa,OWID_AFR,2000,3.6337523
Africa,OWID_AFR,2001,3.5962827
Africa,OWID_AFR,2002,3.6280253
Africa,OWID_AFR,2003,3.6278558
Africa,OWID_AFR,2004,3.6878433
Africa,OWID_AFR,2005,3.6679835
Africa,OWID_AFR,2006,3.8838804
Africa,OWID_AFR,2007,3.8410456
Africa,OWID_AFR,2008,3.8152235
Africa,OWID_AFR,2009,3.9167569
Africa,OWID_AFR,2010,3.8603053
Africa,OWID_AFR,2011,3.8518307
Africa,OWID_AFR,2012,3.89435
Africa,OWID_AFR,2013,4.1774926
Africa,OWID_AFR,2014,4.14255
Africa,OWID_AFR,2015,4.0819135
Africa,OWID_AFR,2016,4.086768
Africa,OWID_AFR,2017,4.0406227
Africa,OWID_AFR,2018,4.0055766
Africa,OWID_AFR,2019,4.0267644
Africa,OWID_AFR,2020,4.0636244
Africa,OWID_AFR,2021,4.0690236
Africa,OWID_AFR,2022,4.0268726
Africa,OWID_AFR,2023,4.010786
Africa,OWID_AFR,2024,4.02836
Africa (FAO),,1961,3.3432002
