Entity,Code,Year,Avocado Yield (tonnes per hectare),El_Nino_Strength,Notes
World,OWID_WRL,2000,7.41,None,"Derived: FAO production / FAO area harvested"
World,OWID_WRL,2001,7.64,None,"Derived: FAO"
World,OWID_WRL,2002,7.68,Moderate,"El Nino 2002-03 (Moderate); Derived: FAO"
World,OWID_WRL,2003,7.73,Moderate,"El Nino 2002-03 (Moderate); Derived: FAO"
World,OWID_WRL,2004,7.75,Weak,"El Nino 2004-05 (Weak); Derived: FAO"
World,OWID_WRL,2005,7.79,None,"Derived: FAO"
World,OWID_WRL,2006,7.87,Weak,"El Nino 2006-07 (Weak); Derived: FAO"
World,OWID_WRL,2007,7.90,None,"Derived: FAO"
World,OWID_WRL,2008,7.84,None,"Derived: FAO"
World,OWID_WRL,2009,7.86,Moderate,"El Nino 2009-10 (Moderate); Derived: FAO"
World,OWID_WRL,2010,7.89,None,"Derived: FAO"
World,OWID_WRL,2011,7.90,None,"Derived: FAO"
World,OWID_WRL,2012,7.99,None,"Derived: FAO"
World,OWID_WRL,2013,8.01,None,"Derived: FAO"
World,OWID_WRL,2014,8.24,Weak,"El Nino 2014-15 (Weak); Derived: FAO"
World,OWID_WRL,2015,8.41,Very Strong,"El Nino 2015-16 (Very Strong); Derived: FAO"
World,OWID_WRL,2016,8.51,Very Strong,"El Nino 2015-16 (Very Strong); Derived: FAO"
World,OWID_WRL,2017,8.43,None,"Derived: FAO"
World,OWID_WRL,2018,8.59,Weak,"El Nino 2018-19 (Weak); Derived: FAO"
World,OWID_WRL,2019,8.37,Weak,"El Nino 2019-20 (Weak); Derived: FAO"
World,OWID_WRL,2020,8.30,None,"Derived: FAO"
World,OWID_WRL,2021,8.35,None,"Derived: FAO"
World,OWID_WRL,2022,8.67,None,"Derived: FAO"
World,OWID_WRL,2023,9.10,Strong,"El Nino 2023-24 (Strong); Derived: FAO"
World,OWID_WRL,2024,9.52,Strong,"El Nino 2023-24 (Strong); Derived: FAO"
Mexico,MEX,2000,9.36,None,"Derived: SIAP/FAO production / area"
Mexico,MEX,2001,9.44,None,"Derived: SIAP/FAO"
Mexico,MEX,2002,9.46,Moderate,"El Nino 2002-03 (Moderate); Derived: SIAP/FAO"
Mexico,MEX,2003,9.44,Moderate,"El Nino 2002-03 (Moderate); slight dip; Derived: SIAP/FAO"
Mexico,MEX,2004,9.63,Weak,"El Nino 2004-05 (Weak); Derived: SIAP/FAO"
Mexico,MEX,2005,10.21,None,"Derived: SIAP/FAO"
Mexico,MEX,2006,10.50,Weak,"El Nino 2006-07 (Weak); Derived: SIAP/FAO"
Mexico,MEX,2007,10.39,None,"Derived: SIAP/FAO"
Mexico,MEX,2008,10.28,None,"Derived: SIAP/FAO"
Mexico,MEX,2009,10.43,Moderate,"El Nino 2009-10 (Moderate); Derived: SIAP/FAO"
Mexico,MEX,2010,10.54,None,"Production dip due to drought; Derived: SIAP/FAO"
Mexico,MEX,2011,10.36,None,"Derived: SIAP/FAO"
Mexico,MEX,2012,10.05,None,"Derived: SIAP/FAO"
Mexico,MEX,2013,10.33,None,"Derived: SIAP/FAO"
Mexico,MEX,2014,10.13,Weak,"El Nino 2014-15 (Weak); Derived: SIAP/FAO"
Mexico,MEX,2015,10.41,Very Strong,"El Nino 2015-16 (Very Strong); Derived: SIAP/FAO"
Mexico,MEX,2016,10.92,Very Strong,"El Nino 2015-16 (Very Strong); Derived: SIAP/FAO"
Mexico,MEX,2017,10.74,None,"Derived: SIAP/FAO"
Mexico,MEX,2018,10.50,Weak,"El Nino 2018-19 (Weak); Derived: SIAP/FAO"
Mexico,MEX,2019,10.36,Weak,"El Nino 2019-20 (Weak); Derived: SIAP/FAO"
Mexico,MEX,2020,10.27,None,"Derived: SIAP/FAO"
Mexico,MEX,2021,10.18,None,"Derived: SIAP/FAO"
Mexico,MEX,2022,10.29,None,"Derived: SIAP/FAO; ~10.77 per Statista"
Mexico,MEX,2023,11.22,Strong,"El Nino 2023-24 (Strong); Derived: SIAP/FAO"
Mexico,MEX,2024,10.82,Strong,"El Nino 2023-24 (Strong); smaller fruit from heat stress; Source: USDA GAIN MX2025"
Colombia,COL,2000,6.68,None,"Derived: FAO production / area"
Colombia,COL,2001,6.84,None,"Derived: FAO"
Colombia,COL,2002,6.95,Moderate,"El Nino 2002-03 (Moderate); Derived: FAO"
Colombia,COL,2003,6.72,Moderate,"El Nino 2002-03 (Moderate); AWC disease drop; Derived: FAO / PMC7355666"
Colombia,COL,2004,6.74,Weak,"El Nino 2004-05 (Weak); Derived: FAO"
Colombia,COL,2005,7.05,None,"Derived: FAO"
Colombia,COL,2006,7.00,Weak,"El Nino 2006-07 (Weak); Derived: FAO"
Colombia,COL,2007,7.35,None,"Derived: FAO"
Colombia,COL,2008,7.24,None,"Derived: FAO"
Colombia,COL,2009,6.90,Moderate,"El Nino 2009-10 (Moderate); ENSO disease surge; Derived: FAO / PMC7355666"
Colombia,COL,2010,6.90,None,"Derived: FAO"
Colombia,COL,2011,7.41,None,"Derived: FAO"
Colombia,COL,2012,7.91,None,"Derived: FAO"
Colombia,COL,2013,7.88,None,"Derived: FAO"
Colombia,COL,2014,8.64,Weak,"El Nino 2014-15 (Weak); Derived: FAO"
Colombia,COL,2015,8.59,Very Strong,"El Nino 2015-16 (Very Strong); drought + AWC; Derived: FAO"
Colombia,COL,2016,8.32,Very Strong,"El Nino 2015-16 (Very Strong); yield dip; Derived: FAO"
Colombia,COL,2017,7.33,None,"Derived: FAO; rapid area expansion dilutes yield"
Colombia,COL,2018,8.09,Weak,"El Nino 2018-19 (Weak); Derived: FAO"
Colombia,COL,2019,7.99,Weak,"El Nino 2019-20 (Weak); Derived: FAO"
Colombia,COL,2020,9.01,None,"Derived: FAO; yield improves with Hass maturation"
Colombia,COL,2021,9.16,None,"Derived: FAO"
Colombia,COL,2022,9.25,None,"Derived: FAO"
Colombia,COL,2023,9.05,Strong,"El Nino 2023-24 (Strong); slight dip; Derived: FAO"
Colombia,COL,2024,8.90,Strong,"El Nino 2023-24 (Strong); heat/drought stress; Derived: FAO"
