"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,1591.37,1596.82
1902,1621.2,1601.41
1903,1616.63,1605.59
1904,1592.15,1608.95
1905,1570.23,1611.07
1906,1592.09,1611.52
1907,1675.33,1609.98
1908,1613.01,1606.86
1909,1583.48,1603.14
1910,1588.93,1599.8
1911,1623.26,1597.8
1912,1601.32,1598.12
1913,1597.95,1601.16
1914,1590.96,1606.37
1915,1599.34,1613.15
1916,1610.87,1620.88
1917,1650.72,1628.88
1918,1635.24,1636.57
1919,1640.01,1643.28
1920,1667.7,1648.38
1921,1652.76,1651.2
1922,1649.58,1651.09
1923,1642.43,1647.49
1924,1602.69,1640.93
1925,1697.1,1632.85
1926,1580.96,1624.66
1927,1612.13,1617.8
1928,1622.25,1613.65
1929,1621.65,1612.56
1930,1628.75,1612.71
1931,1541.55,1612.07
1932,1668.37,1608.6
1933,1597.52,1600.28
1934,1654.49,1585.79
1935,1561.93,1567.43
1936,1498.59,1548.64
1937,1449.7,1533.03
1938,1446.84,1524.03
1939,1630.76,1524.93
1940,1596.24,1535.62
1941,1668.86,1552.98
1942,1454.81,1573.86
1943,1601.38,1595.12
1944,1500.9,1613.63
1945,1636.55,1627.15
1946,1790.09,1635.7
1947,1576.34,1639.52
1948,1640.6,1638.83
1949,1639.43,1633.88
1950,1577.19,1625.15
1951,1594.51,1614.59
1952,1562.95,1604.62
1953,1771.63,1597.79
1954,1584.54,1596.52
1955,1574.69,1603.13
1956,1543.36,1616.44
1957,1558.83,1631.84
1958,1732.77,1644.67
1959,1740.02,1650.29
1960,1558.3,1643.98
1961,1630.01,1624.26
1962,1580.66,1597.16
1963,1530.91,1569.82
1964,1569.95,1549.32
1965,1671.77,1542.92
1966,1515.59,1556.35
1967,1651.79,1586.2
1968,1556.96,1625.31
1969,1499.96,1666.2
1970,1758.03,1701.7
1971,1623.77,1724.75
1972,1805.55,1733.18
1973,1892.12,1729.99
1974,1652.12,1718.54
1975,1831.76,1702.11
1976,1677.51,1683.95
1977,1721.33,1666.44
1978,1529.6,1649.02
1979,1362.53,1630.72
1980,1530.56,1610.5
1981,1788.89,1587.5
1982,1728.61,1560.95
1983,1506.02,1532.41
1984,1602.38,1504.38
1985,1241.42,1479.61
1986,1575.33,1460.61
1987,1455.66,1449.9
1988,1368.54,1448.08
1989,1485.35,1453.39
1990,1549.54,1463.94
1991,1347.98,1477.85
1992,1399.87,1493.27
1993,1670.28,1508.87
1994,1649.18,1525.39
1995,1421.02,1543.92
1996,1546.52,1565.61
1997,1588.42,1591.43
1998,1531.52,1622.19
1999,1767,1655.69
2000,1684.58,1688.24
2001,1749.32,1715.86
2002,1695.84,1734.85
2003,1764.28,1741.51
2004,1752.64,1734.98
2005,1536.04,1718.41
2006,1809.69,1695.14
2007,1697.16,1668.53
2008,1685.59,1641.86
2009,1711.83,1618.14
2010,1407.81,1598.32
2011,1633.49,1583.03
2012,1503.31,1572.88
2013,1605.18,1568.57
2014,1573.1,1570.45
2015,1575.91,1576.24
2016,1510.55,1582.11
2017,1725.86,1584.14
2018,1597.47,1578.46
2019,1745.83,1561.25
2020,1302.93,1531.04
2021,1516.64,1490.34
2022,1234.41,1441.73
2023,1472.94,1387.83
2024,1408.98,1331.13
